num_leaves,max_depth,learning_rate,min_child_samples,subsample,colsample_bytree,AP_cv,phase
31,,0.05,,,,,
127,,0.05,,,,,
63,,0.05,,,,,
63,,0.1,,,,,
31,,0.1,,,,,
127,,0.2,,,,,
127,,0.1,,,,,
63,,0.2,,,,,
31,,0.2,,,,,
31,4.0,0.05,20.0,0.8,0.8,0.9998213565530252,coarse
31,4.0,0.05,20.0,0.8,1.0,0.9998254355561204,coarse
31,4.0,0.05,20.0,1.0,0.8,0.9998213565530252,coarse
31,4.0,0.05,20.0,1.0,1.0,0.9998254355561204,coarse
31,4.0,0.05,50.0,0.8,0.8,0.9998142771275732,coarse
31,4.0,0.05,50.0,0.8,1.0,0.9998310368728864,coarse
31,4.0,0.05,50.0,1.0,0.8,0.9998142771275732,coarse
31,4.0,0.05,50.0,1.0,1.0,0.9998310368728864,coarse
31,4.0,0.1,20.0,0.8,0.8,0.9998213709198366,coarse
31,4.0,0.1,20.0,0.8,1.0,0.9998188205460116,coarse
31,4.0,0.1,20.0,1.0,0.8,0.9998213709198366,coarse
31,4.0,0.1,20.0,1.0,1.0,0.9998188205460116,coarse
31,4.0,0.1,50.0,0.8,0.8,0.9998099210835512,coarse
31,4.0,0.1,50.0,0.8,1.0,0.9998421041665088,coarse
31,4.0,0.1,50.0,1.0,0.8,0.9998099210835512,coarse
31,4.0,0.1,50.0,1.0,1.0,0.9998421041665088,coarse
31,6.0,0.05,20.0,0.8,0.8,0.9998580059205868,coarse
31,6.0,0.05,20.0,0.8,1.0,0.9998625896786584,coarse
31,6.0,0.05,20.0,1.0,0.8,0.9998580059205868,coarse
31,6.0,0.05,20.0,1.0,1.0,0.9998625896786584,coarse
31,6.0,0.05,50.0,0.8,0.8,0.999853100675288,coarse
31,6.0,0.05,50.0,0.8,1.0,0.9998412921537232,coarse
31,6.0,0.05,50.0,1.0,0.8,0.999853100675288,coarse
31,6.0,0.05,50.0,1.0,1.0,0.9998412921537232,coarse
31,6.0,0.1,20.0,0.8,0.8,0.9998430579841252,coarse
31,6.0,0.1,20.0,0.8,1.0,0.9998634608054178,coarse
31,6.0,0.1,20.0,1.0,0.8,0.9998430579841252,coarse
31,6.0,0.1,20.0,1.0,1.0,0.9998634608054178,coarse
31,6.0,0.1,50.0,0.8,0.8,0.9998479282025,coarse
31,6.0,0.1,50.0,0.8,1.0,0.9997946602057488,coarse
31,6.0,0.1,50.0,1.0,0.8,0.9998479282025,coarse
31,6.0,0.1,50.0,1.0,1.0,0.9997946602057488,coarse
31,8.0,0.05,20.0,0.8,0.8,0.9998449639936264,coarse
31,8.0,0.05,20.0,0.8,1.0,0.9997777358822182,coarse
31,8.0,0.05,20.0,1.0,0.8,0.9998449639936264,coarse
31,8.0,0.05,20.0,1.0,1.0,0.9997777358822182,coarse
31,8.0,0.05,50.0,0.8,0.8,0.9998510144198312,coarse
31,8.0,0.05,50.0,0.8,1.0,0.9998135134683036,coarse
31,8.0,0.05,50.0,1.0,0.8,0.9998510144198312,coarse
31,8.0,0.05,50.0,1.0,1.0,0.9998135134683036,coarse
31,8.0,0.1,20.0,0.8,0.8,0.9998180887299738,coarse
31,8.0,0.1,20.0,0.8,1.0,0.9998737335699664,coarse
31,8.0,0.1,20.0,1.0,0.8,0.9998180887299738,coarse
31,8.0,0.1,20.0,1.0,1.0,0.9998737335699664,coarse
31,8.0,0.1,50.0,0.8,0.8,0.9998562498947204,coarse
31,8.0,0.1,50.0,0.8,1.0,0.9997604222187396,coarse
31,8.0,0.1,50.0,1.0,0.8,0.9998562498947204,coarse
31,8.0,0.1,50.0,1.0,1.0,0.9997604222187396,coarse
63,4.0,0.05,20.0,0.8,0.8,0.9998213565530252,coarse
63,4.0,0.05,20.0,0.8,1.0,0.9998254355561204,coarse
63,4.0,0.05,20.0,1.0,0.8,0.9998213565530252,coarse
63,4.0,0.05,20.0,1.0,1.0,0.9998254355561204,coarse
63,4.0,0.05,50.0,0.8,0.8,0.9998142771275732,coarse
63,4.0,0.05,50.0,0.8,1.0,0.9998310368728864,coarse
63,4.0,0.05,50.0,1.0,0.8,0.9998142771275732,coarse
63,4.0,0.05,50.0,1.0,1.0,0.9998310368728864,coarse
63,4.0,0.1,20.0,0.8,0.8,0.9998213709198366,coarse
63,4.0,0.1,20.0,0.8,1.0,0.9998188205460116,coarse
63,4.0,0.1,20.0,1.0,0.8,0.9998213709198366,coarse
63,4.0,0.1,20.0,1.0,1.0,0.9998188205460116,coarse
63,4.0,0.1,50.0,0.8,0.8,0.9998099210835512,coarse
63,4.0,0.1,50.0,0.8,1.0,0.9998421041665088,coarse
63,4.0,0.1,50.0,1.0,0.8,0.9998099210835512,coarse
63,4.0,0.1,50.0,1.0,1.0,0.9998421041665088,coarse
63,6.0,0.05,20.0,0.8,0.8,0.999851136319472,coarse
63,6.0,0.05,20.0,0.8,1.0,0.9998625896798744,coarse
63,6.0,0.05,20.0,1.0,0.8,0.999851136319472,coarse
63,6.0,0.05,20.0,1.0,1.0,0.9998625896798744,coarse
63,6.0,0.05,50.0,0.8,0.8,0.9998573911692992,coarse
63,6.0,0.05,50.0,0.8,1.0,0.9998432684314302,coarse
63,6.0,0.05,50.0,1.0,0.8,0.9998573911692992,coarse
63,6.0,0.05,50.0,1.0,1.0,0.9998432684314302,coarse
63,6.0,0.1,20.0,0.8,0.8,0.999856478785862,coarse
63,6.0,0.1,20.0,0.8,1.0,0.9998501066153112,coarse
63,6.0,0.1,20.0,1.0,0.8,0.999856478785862,coarse
63,6.0,0.1,20.0,1.0,1.0,0.9998501066153112,coarse
63,6.0,0.1,50.0,0.8,0.8,0.9998704033063648,coarse
63,6.0,0.1,50.0,0.8,1.0,0.9997946659885923,coarse
63,6.0,0.1,50.0,1.0,0.8,0.9998704033063648,coarse
63,6.0,0.1,50.0,1.0,1.0,0.9997946659885923,coarse
63,8.0,0.05,20.0,0.8,0.8,0.9998544334227056,coarse
63,8.0,0.05,20.0,0.8,1.0,0.999827196906502,coarse
63,8.0,0.05,20.0,1.0,0.8,0.9998544334227056,coarse
63,8.0,0.05,20.0,1.0,1.0,0.999827196906502,coarse
63,8.0,0.05,50.0,0.8,0.8,0.9998612953868848,coarse
63,8.0,0.05,50.0,0.8,1.0,0.9998215704128236,coarse
63,8.0,0.05,50.0,1.0,0.8,0.9998612953868848,coarse
63,8.0,0.05,50.0,1.0,1.0,0.9998215704128236,coarse
63,8.0,0.1,20.0,0.8,0.8,0.9998354219771408,coarse
63,8.0,0.1,20.0,0.8,1.0,0.999780405027622,coarse
63,8.0,0.1,20.0,1.0,0.8,0.9998354219771408,coarse
63,8.0,0.1,20.0,1.0,1.0,0.999780405027622,coarse
63,8.0,0.1,50.0,0.8,0.8,0.9998365362430855,coarse
63,8.0,0.1,50.0,0.8,1.0,0.99977514985332,coarse
63,8.0,0.1,50.0,1.0,0.8,0.9998365362430855,coarse
63,8.0,0.1,50.0,1.0,1.0,0.99977514985332,coarse
127,4.0,0.05,20.0,0.8,0.8,0.9998213565530252,coarse
127,4.0,0.05,20.0,0.8,1.0,0.9998254355561204,coarse
127,4.0,0.05,20.0,1.0,0.8,0.9998213565530252,coarse
127,4.0,0.05,20.0,1.0,1.0,0.9998254355561204,coarse
127,4.0,0.05,50.0,0.8,0.8,0.9998142771275732,coarse
127,4.0,0.05,50.0,0.8,1.0,0.9998310368728864,coarse
127,4.0,0.05,50.0,1.0,0.8,0.9998142771275732,coarse
127,4.0,0.05,50.0,1.0,1.0,0.9998310368728864,coarse
127,4.0,0.1,20.0,0.8,0.8,0.9998213709198366,coarse
127,4.0,0.1,20.0,0.8,1.0,0.9998188205460116,coarse
127,4.0,0.1,20.0,1.0,0.8,0.9998213709198366,coarse
127,4.0,0.1,20.0,1.0,1.0,0.9998188205460116,coarse
127,4.0,0.1,50.0,0.8,0.8,0.9998099210835512,coarse
127,4.0,0.1,50.0,0.8,1.0,0.9998421041665088,coarse
127,4.0,0.1,50.0,1.0,0.8,0.9998099210835512,coarse
127,4.0,0.1,50.0,1.0,1.0,0.9998421041665088,coarse
127,6.0,0.05,20.0,0.8,0.8,0.999851136319472,coarse
127,6.0,0.05,20.0,0.8,1.0,0.9998625896798744,coarse
127,6.0,0.05,20.0,1.0,0.8,0.999851136319472,coarse
127,6.0,0.05,20.0,1.0,1.0,0.9998625896798744,coarse
127,6.0,0.05,50.0,0.8,0.8,0.9998573911692992,coarse
127,6.0,0.05,50.0,0.8,1.0,0.9998432684314302,coarse
127,6.0,0.05,50.0,1.0,0.8,0.9998573911692992,coarse
127,6.0,0.05,50.0,1.0,1.0,0.9998432684314302,coarse
127,6.0,0.1,20.0,0.8,0.8,0.999856478785862,coarse
127,6.0,0.1,20.0,0.8,1.0,0.9998501066153112,coarse
127,6.0,0.1,20.0,1.0,0.8,0.999856478785862,coarse
127,6.0,0.1,20.0,1.0,1.0,0.9998501066153112,coarse
127,6.0,0.1,50.0,0.8,0.8,0.9998704033063648,coarse
127,6.0,0.1,50.0,0.8,1.0,0.9997946659885923,coarse
127,6.0,0.1,50.0,1.0,0.8,0.9998704033063648,coarse
127,6.0,0.1,50.0,1.0,1.0,0.9997946659885923,coarse
127,8.0,0.05,20.0,0.8,0.8,0.999851254818903,coarse
127,8.0,0.05,20.0,0.8,1.0,0.9998271937266288,coarse
127,8.0,0.05,20.0,1.0,0.8,0.999851254818903,coarse
127,8.0,0.05,20.0,1.0,1.0,0.9998271937266288,coarse
127,8.0,0.05,50.0,0.8,0.8,0.9998593815273464,coarse
127,8.0,0.05,50.0,0.8,1.0,0.999821669334367,coarse
127,8.0,0.05,50.0,1.0,0.8,0.9998593815273464,coarse
127,8.0,0.05,50.0,1.0,1.0,0.999821669334367,coarse
127,8.0,0.1,20.0,0.8,0.8,0.9996951615083404,coarse
127,8.0,0.1,20.0,0.8,1.0,0.9997804066208248,coarse
127,8.0,0.1,20.0,1.0,0.8,0.9996951615083404,coarse
127,8.0,0.1,20.0,1.0,1.0,0.9997804066208248,coarse
127,8.0,0.1,50.0,0.8,0.8,0.9998359899707384,coarse
127,8.0,0.1,50.0,0.8,1.0,0.9997751325473936,coarse
127,8.0,0.1,50.0,1.0,0.8,0.9998359899707384,coarse
127,8.0,0.1,50.0,1.0,1.0,0.9997751325473936,coarse
31,8.0,0.1,20.0,0.8,1.0,0.999673872878448,refine
31,8.0,0.1,20.0,1.0,1.0,0.999673872878448,refine
127,6.0,0.1,50.0,1.0,0.8,0.9998621451361174,refine
127,6.0,0.1,50.0,0.8,0.8,0.9998621451361174,refine
63,6.0,0.1,50.0,1.0,0.8,0.9998621451361174,refine
